track_name,artist_name,year,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence,language,mood,spotify_link
Chella Kutty (Bonus Track),D. Imman,2016,44,0.505,0.621,0.737,0,5,0.349,-5.757,0.0332,116.989,0.817,English,Happy,https://open.spotify.com/track/1OsZLm7mcp7budvRLBiHaB
Sona Sona,D. Imman,2015,18,0.0654,0.815,0.699,0,0,0.117,-4.629,0.0389,100.059,0.777,Hindi,Energetic,https://open.spotify.com/track/2RMfPfy3WAx6hpruFzfyLt
Silukku Marame,D. Imman,2015,15,0.429,0.765,0.516,4.86E-06,11,0.204,-11.487,0.196,88.024,0.708,Hindi,Neutral,https://open.spotify.com/track/1uJAswRfB7hbhNnKhbJIit
Kaiveesum,D. Imman,2015,22,0.204,0.589,0.743,0,9,0.336,-6.552,0.047,94.575,0.44,English,Neutral,https://open.spotify.com/track/3MurK9uMhDuk1QraaDPBP8
Aaru Ivalo,D. Imman,2015,14,0.776,0.602,0.288,6.15E-05,0,0.271,-12.146,0.0893,144.905,0.546,Hindi,Neutral,https://open.spotify.com/track/7bA1Ph3Dx3zSxLs0CX3uRJ
"Shut Up Your Mouth (From ""Yennamo Yedho"")",D. Imman,2015,0,0.297,0.642,0.858,6.55E-05,2,0.131,-3.708,0.147,184.028,0.815,English,Happy,https://open.spotify.com/track/7DyRO7bocEuniWRzWJYRU4
Shut Up Your Mouth,D. Imman,2014,20,0.297,0.642,0.858,6.55E-05,2,0.131,-3.708,0.147,184.028,0.815,English,Happy,https://open.spotify.com/track/3N0sVvIHpVIYfTekYLv5nC
Mosale Mosale,D. Imman,2014,25,0.187,0.692,0.782,0,11,0.111,-4.174,0.0502,94.944,0.791,English,Happy,https://open.spotify.com/track/2EPzqA21QB9plCchy6eEzt
Naangu Kangal,D. Imman,2009,18,0.616,0.579,0.642,0,2,0.371,-4.344,0.0519,84.895,0.647,Hindi,Neutral,https://open.spotify.com/track/3vTNkDR6povLu4oO3J63xC
"Raat Akeli Thi (From ""Merry Christmas"")",Pritam,2024,65,0.895,0.657,0.65,0.00106,0,0.0865,-6.524,0.0372,126.975,0.363,Hindi,Energetic,https://open.spotify.com/track/4sKISeqmcPixT0rim339VH
"Nazar Teri Toofan (From ""Merry Christmas"")",Pritam,2024,53,0.235,0.462,0.628,0,2,0.0822,-6.702,0.0443,117.202,0.252,Hindi,Neutral,https://open.spotify.com/track/5hR6lVUp1JyTrxzihXTvZJ
Janam Janam - Sped Up,Pritam,2024,37,0.618,0.511,0.734,0,2,0.133,-6.477,0.0581,113.109,0.361,Hindi,Neutral,https://open.spotify.com/track/7s9wztg73itRMtmPrqRYrV
Dil Ibaadat - Sped Up,Pritam,2024,39,0.763,0.626,0.827,2.35E-06,4,0.545,-4.907,0.0385,92.452,0.557,Hindi,Energetic,https://open.spotify.com/track/5BZYfPJbt1LsxyqvwmMrOm
"Abhi Na Jao Chhod Kar - Film Version 1 (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2024,31,0.697,0.356,0.58,0.00036,2,0.485,-5.784,0.0438,183.53,0.548,Hindi,Neutral,https://open.spotify.com/track/3sgL1Kf3IZD2PnYBw7v221
Ae Dil Hai Mushkil - Sped Up,Pritam,2024,35,0.754,0.426,0.641,1.89E-06,6,0.15,-5.644,0.0726,77.009,0.363,Hindi,Neutral,https://open.spotify.com/track/7BMhiMKr7o73jFjuvSbpg6
In Dino - Sped Up,Pritam,2024,38,0.534,0.581,0.649,1.91E-06,5,0.153,-7.337,0.0394,127.088,0.288,Hindi,Neutral,https://open.spotify.com/track/6uiCum8yN8S6bLCBafKDQm
Channa Mereya - Sped Up,Pritam,2024,36,0.186,0.518,0.807,5.37E-06,0,0.153,-4.178,0.0662,114.902,0.736,Hindi,Happy,https://open.spotify.com/track/3IPPlNvp85zsHtOoAcVV3L
Zara Sa - Sped Up,Pritam,2024,35,0.11,0.573,0.932,5.99E-05,2,0.18,-2.662,0.0507,111.993,0.787,Hindi,Happy,https://open.spotify.com/track/3yIE73hsOB0nF3jWPzFyvR
Judai - Sped Up,Pritam,2024,34,0.388,0.58,0.869,0.00276,11,0.0814,-5.08,0.0835,136.959,0.786,Hindi,Happy,https://open.spotify.com/track/1v2JPNmeXMoiekOYn5nbEZ
Bheegi Si Bhaagi Si - Sped Up,Pritam,2024,32,0.347,0.587,0.936,0,11,0.204,-5.703,0.195,113.924,0.718,Hindi,Happy,https://open.spotify.com/track/6RL3ySGbGZom1poiyZuwlf
"Dil Ki Mez (From ""Merry Christmas"")",Pritam,2024,33,0.865,0.578,0.396,6.32E-06,4,0.0965,-9.543,0.0318,109.955,0.444,Hindi,Neutral,https://open.spotify.com/track/4mmUGp8RH4WZ8wtjVJwSQi
Jannatein Kahan - Sped Up,Pritam,2024,30,0.397,0.559,0.644,2.59E-06,11,0.337,-6.833,0.074,92.578,0.668,Hindi,Neutral,https://open.spotify.com/track/17CHqfsinSixBeRfodSgm3
Mat Aazma Re - Sped Up,Pritam,2024,30,0.609,0.591,0.906,0,2,0.0558,-2.598,0.0546,125.003,0.695,Hindi,Neutral,https://open.spotify.com/track/1g6ItM1RHdsrkQFMBVOJc2
Dilliwaali Girlfriend Remix,Pritam,2024,28,0.0806,0.77,0.968,1.26E-05,4,0.0826,-1.518,0.0719,135.006,0.961,Hindi,Happy,https://open.spotify.com/track/7D3fyD1DO6Imzjaly8lf3i
Kalank - Title Track,Pritam,2024,37,0.523,0.57,0.55,3.73E-05,10,0.0921,-8.343,0.035,117.99,0.433,Hindi,Neutral,https://open.spotify.com/track/7G5wpuR61ABrT7R1snos7C
First Class (Kalank),Pritam,2024,34,0.423,0.386,0.961,0,1,0.345,-3.654,0.352,187.491,0.692,Hindi,Neutral,https://open.spotify.com/track/2EvGNKagKtvFeZMLjOfgDP
O Maahi Remix,Pritam,2024,28,0.0348,0.665,0.867,1.46E-06,1,0.0797,-4.939,0.0369,122.975,0.373,Hindi,Energetic,https://open.spotify.com/track/5MEalubIQvggtgNHSEjm3G
Nazar Teri Toofan - Version 2,Pritam,2024,15,0.268,0.472,0.612,3.50E-06,4,0.0827,-6.626,0.0379,117.62,0.239,Hindi,Neutral,https://open.spotify.com/track/5GA2jXHjGz8MEkikbRqSTX
Sharara - Extended Version (From “Mere Yaar Ki Shaadi Hai”),Jeet-Pritam,2024,25,0.391,0.563,0.917,0,6,0.523,-5.443,0.513,95.606,0.516,Hindi,Neutral,https://open.spotify.com/track/1yl4Y0saxadr37ihpLjhqH
Raat Akeli Thi - Version 2,Pritam,2024,23,0.864,0.559,0.449,2.04E-06,4,0.0844,-7.109,0.0304,127.893,0.236,Hindi,Neutral,https://open.spotify.com/track/17VLnWX35nZrqkiPpmwxUk
Alvida - Sped Up,Pritam,2024,16,0.634,0.617,0.718,0.000733,5,0.189,-5.198,0.0299,109.008,0.353,Hindi,Energetic,https://open.spotify.com/track/3zr5gicJreKBk7ep1AjGdc
Ghar More Pardesiya (Kalank),Pritam,2024,13,0.397,0.703,0.982,0.000927,4,0.109,-3.466,0.118,110.031,0.697,Hindi,Energetic,https://open.spotify.com/track/432leZkBmxF6si4ftPOOdn
Tabaah Ho Gaye (Kalank),Pritam,2024,5,0.607,0.524,0.784,0.00703,4,0.0883,-6.783,0.0958,103.992,0.365,Hindi,Neutral,https://open.spotify.com/track/0m4VreaNduvs42gclXykew
Ghar More Pardesiya - Radio Edit,Pritam,2024,7,0.398,0.701,0.983,0.000945,4,0.109,-3.429,0.112,110.026,0.734,Hindi,Happy,https://open.spotify.com/track/1aI9O26m7U7SZ0wJKRpsjL
"Leke Prabhu Ka Naam (From ""Tiger 3"")",Pritam,2024,1,0.292,0.709,0.886,6.92E-06,4,0.308,-7.292,0.0504,115.957,0.935,Hindi,Happy,https://open.spotify.com/track/66v97IvccVkHt40FIOq1LH
Cutipie - Sped Up,Pritam,2024,5,0.355,0.735,0.929,0.00409,3,0.127,-2.551,0.0885,152.937,0.959,Hindi,Happy,https://open.spotify.com/track/7ycf7yzbOxh4MG9IGOUDt7
"Merry Christmas (Title Track) (From ""Merry Christmas"")",Pritam,2024,7,0.544,0.682,0.638,0,0,0.178,-7.158,0.0321,105.063,0.821,Hindi,Energetic,https://open.spotify.com/track/5qMvYzgquX6SnugWREFj6e
"Malang (From ""Dhoom:3"")",Pritam,2024,0,0.124,0.531,0.94,0,4,0.526,-4.827,0.0937,173.008,0.54,Hindi,Neutral,https://open.spotify.com/track/6E2e7lb0jETN2EXbswzylY
Malang - Extended Version,Pritam,2024,0,0.153,0.469,0.922,0,4,0.103,-6.009,0.149,173.008,0.494,Hindi,Neutral,https://open.spotify.com/track/10JXoXw2mQ0mcpmDEubTAS
"Dhoom Again (From ""Dhoom:2"")",Pritam,2024,0,0.157,0.809,0.925,0,7,0.382,-6.864,0.22,99.955,0.59,Hindi,Energetic,https://open.spotify.com/track/4k4cbuJAsmDqg3s74UxRNv
"Dhoom Machale Dhoom (From ""Dhoom:3"")",Pritam,2024,0,0.05,0.67,0.892,1.48E-05,1,0.226,-6.769,0.11,110.007,0.674,Hindi,Energetic,https://open.spotify.com/track/27L1VweNSRgmmq2nBec5Qb
"Kamli - Unplugged (From ""Dhoom:3"")",Pritam,2024,0,0.249,0.428,0.796,0,2,0.704,-8.071,0.278,170.311,0.547,Hindi,Neutral,https://open.spotify.com/track/1jgI6R6PDWJY9N3hLM9Zsg
"Dhoom Machale (From ""Dhoom"")",Pritam,2024,0,0.0543,0.786,0.912,0.000115,11,0.35,-5.188,0.117,101.449,0.444,Hindi,Energetic,https://open.spotify.com/track/27L1VweNSRgmmq2nBec5Qb
"Shikdum (From ""Dhoom"")",Pritam,2024,0,0.152,0.704,0.865,0.00564,7,0.139,-5.638,0.0604,93.838,0.53,Hindi,Energetic,https://open.spotify.com/track/0MofcoMjWjDuqihNCdOiUk
"Kamli (From ""Dhoom:3"")",Pritam,2024,0,0.119,0.583,0.95,0,7,0.161,-4.053,0.109,174.976,0.68,Hindi,Neutral,https://open.spotify.com/track/1PSSiUzHEZDPPhy1MyCtbF
Kalank - Bonus Track,Pritam,2024,0,0.492,0.567,0.673,5.98E-05,10,0.102,-7.668,0.0398,117.919,0.325,Hindi,Neutral,https://open.spotify.com/track/5mlgxUtBTfgnshI51n91oC
"Dilbara (From ""Dhoom"")",Pritam,2024,0,0.251,0.87,0.747,0,6,0.0533,-5.971,0.119,130.027,0.81,Hindi,Happy,https://open.spotify.com/track/5xbudoMCt2eLaPLE9Es1Bm
"Ki Farak Painda Hai (From ""The Great Indian Family"")",Pritam,2024,0,0.117,0.689,0.925,0,8,0.317,-4.08,0.188,132.091,0.672,Hindi,Energetic,https://open.spotify.com/track/4kdqwacRU9WqwFqvkf5dep
Anbe Vidai,Pritam,2024,1,0.249,0.463,0.594,2.72E-06,2,0.0809,-6.517,0.0363,117.395,0.208,Hindi,Neutral,https://open.spotify.com/track/3juPgHpMZq9gIXvfDNg2iI
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2023,64,0.235,0.821,0.823,0,2,0.207,-5.455,0.1,107.953,0.479,Hindi,Energetic,https://open.spotify.com/track/4QyX8CBSjcoq4iMZuvifyF
Tere Pyaar Mein,Pritam,2023,77,0.111,0.679,0.748,0,9,0.183,-5.487,0.054,118.945,0.406,Hindi,Energetic,https://open.spotify.com/track/2ZD4aIEepqZsdxPxLSuUhm
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2023,61,0.586,0.271,0.726,0,7,0.353,-6.504,0.0527,87.425,0.532,Hindi,Neutral,https://open.spotify.com/track/00ake6KfnzbZ2MaRLGqsyX
"O Maahi (From ""Dunki"")",Pritam,2023,78,0.562,0.616,0.669,0,1,0.177,-6.836,0.0349,116.973,0.475,Hindi,Energetic,https://open.spotify.com/track/0qQ4IdhjzNr0gJhdMTf2n3
O Maahi,Pritam,2023,75,0.562,0.616,0.669,0,1,0.177,-6.836,0.0349,116.973,0.475,Hindi,Energetic,https://open.spotify.com/track/6bmmHeCvZI92pRiTHxEdTC
"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",Pritam,2023,73,0.138,0.772,0.767,0,0,0.557,-4.792,0.0381,122.024,0.866,Hindi,Happy,https://open.spotify.com/track/2vPrBucKCfKmafHhSfJ2pt
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2023,57,0.81,0.468,0.658,0.0333,2,0.12,-7.6,0.0668,87.607,0.534,Hindi,Neutral,https://open.spotify.com/track/1AmwIgy0WYLJJ5e24aCFTm
"Lutt Putt Gaya (From ""Dunki"")",Pritam,2023,70,0.465,0.655,0.803,4.29E-05,9,0.0499,-7.472,0.179,90.973,0.651,Hindi,Energetic,https://open.spotify.com/track/72Z2D7jpKevicRkyL45mbw
"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",Pritam,2023,73,0.794,0.582,0.418,0,7,0.109,-8.701,0.0288,112.909,0.243,Hindi,Neutral,https://open.spotify.com/track/0czcoKJbJt08NqKrvSbbz7
Lutt Putt Gaya,Pritam,2023,70,0.465,0.655,0.803,4.29E-05,9,0.0499,-7.472,0.179,90.973,0.651,Hindi,Energetic,https://open.spotify.com/track/72Z2D7jpKevicRkyL45mbw
"Dhindhora Baje Re (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2023,50,0.219,0.679,0.883,1.65E-05,9,0.165,-6.281,0.112,128.004,0.726,Hindi,Happy,https://open.spotify.com/track/60u29xfTGpUMpeE7SvFc3C
"Show Me The Thumka (From ""Tu Jhoothi Main Makkaar"")",Pritam,2023,61,0.607,0.841,0.87,8.83E-06,9,0.0734,-4.487,0.216,122.005,0.803,Hindi,Happy,https://open.spotify.com/track/1t39FBb0zsKv5krZaqZKCB
"Ruaan (From ""Tiger 3"")",Pritam,2023,66,0.827,0.411,0.655,3.27E-06,9,0.0966,-7.642,0.0628,73.441,0.608,Hindi,Neutral,https://open.spotify.com/track/0Qo75eJMY72e5IQJt0Dz9z
"Character Dheela 2.0 (From ""Shehzada"")",Pritam,2023,54,0.00332,0.841,0.863,9.64E-05,11,0.111,-4.73,0.0642,111.955,0.426,Hindi,Energetic,https://open.spotify.com/track/0QT9B8Yfrz0vi66oXMrKJg
Pyaar Hota Kayi Baar Hai,Pritam,2023,59,0.138,0.772,0.767,0,0,0.557,-4.792,0.0381,122.024,0.866,Hindi,Happy,https://open.spotify.com/track/2vPrBucKCfKmafHhSfJ2pt
"Munda Sona Hoon Main (From ""Shehzada"")",Pritam,2023,55,0.271,0.775,0.83,0,9,0.191,-4.905,0.0571,130.024,0.913,Hindi,Happy,https://open.spotify.com/track/0NODNDsiY0sK5P0TnmDMSE
"Chedkhaniyan (From ""Shehzada"")",Pritam,2023,51,0.38,0.716,0.876,0,7,0.394,-3.777,0.0694,124.903,0.849,Hindi,Happy,https://open.spotify.com/track/6EKY8rpjaBxxB0WbXJhedU
"Jaadui (From ""Tu Jhoothi Main Makkaar"")",Pritam,2023,62,0.866,0.589,0.419,8.79E-06,7,0.136,-10.485,0.0265,102.973,0.437,Hindi,Neutral,https://open.spotify.com/track/4nriYsKSq1VmiamjZOB4Tp
"Banda (From ""Dunki"")",Pritam,2023,47,0.142,0.869,0.746,0,9,0.32,-6.572,0.231,127.087,0.609,Hindi,Energetic,https://open.spotify.com/track/2kPXVr1Sr8hoCv7g41WCuS
Main Tera Rasta Dekhunga,Pritam,2023,50,0.777,0.528,0.748,3.46E-05,2,0.171,-6.683,0.0893,80.92,0.602,Hindi,Neutral,https://open.spotify.com/track/4zfWw4IttVasH4tIuLIW65
Chal Ve Watna,Pritam,2023,48,0.76,0.482,0.656,0.000125,4,0.0775,-7.266,0.0414,82.018,0.477,Hindi,Neutral,https://open.spotify.com/track/768EkqSx9tvhMotfwGEum3
Banda,Pritam,2023,45,0.142,0.869,0.746,0,9,0.32,-6.572,0.231,127.087,0.609,Hindi,Energetic,https://open.spotify.com/track/2kPXVr1Sr8hoCv7g41WCuS
Kesariya - Lost Frequencies Remix,Pritam,2023,42,0.0678,0.64,0.857,0.0132,9,0.231,-6.373,0.0375,125.995,0.0543,Hindi,Energetic,https://open.spotify.com/track/1lGM7rKw8G2Sz0DDuKL82f
"Tune Jo Na Kaha (From ""New York"")",Pritam,2023,55,0.776,0.502,0.473,0.00477,5,0.343,-12.399,0.0655,79.902,0.316,Hindi,Calm,https://open.spotify.com/track/216L4bediHLhvI7MQgOSAz
"Maine Pi Rakhi Hai (From ""Tu Jhoothi Main Makkaar"")",Pritam,2023,48,0.143,0.733,0.876,0,1,0.214,-4.92,0.281,105.07,0.586,Hindi,Energetic,https://open.spotify.com/track/3rQDMaRia4W2M0Fliv9J4I
Show Me The Thumka,Pritam,2023,49,0.607,0.841,0.87,8.83E-06,9,0.0734,-4.487,0.216,122.005,0.803,Hindi,Happy,https://open.spotify.com/track/1t39FBb0zsKv5krZaqZKCB
"Tum Kya Mile - Shreya's Version (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2023,35,0.945,0.442,0.573,0.0716,0,0.108,-8.041,0.0318,171.864,0.351,Hindi,Neutral,https://open.spotify.com/track/1XF1cPnzsbGYn2mjKUjnWa
"Crazy Kiya Re (From ""Dhoom:2"")",Pritam,2023,45,0.142,0.749,0.93,2.40E-06,11,0.452,-5.643,0.13,92.035,0.805,Hindi,Happy,https://open.spotify.com/track/0FDz52AydSbKmGO3k6EMiS
O Bedardeya,Pritam,2023,50,0.794,0.582,0.418,0,7,0.109,-8.701,0.0288,112.909,0.243,Hindi,Neutral,https://open.spotify.com/track/0czcoKJbJt08NqKrvSbbz7
Nikle The Kabhi Hum Ghar Se,Pritam,2023,45,0.727,0.543,0.516,4.28E-05,4,0.104,-8.904,0.0307,103.947,0.157,Hindi,Neutral,https://open.spotify.com/track/0TB3o17WOQginPe0ob0sE6
Main Tera Rasta Dekhunga (Film Version),Pritam,2023,45,0.762,0.479,0.701,0.000631,2,0.24,-7.819,0.0583,80.823,0.422,Hindi,Neutral,https://open.spotify.com/track/6Mp18aORQHu8QoLUhbqe4h
Maine Pi Rakhi Hai,Pritam,2023,44,0.137,0.733,0.877,0,1,0.213,-4.92,0.281,105.07,0.585,Hindi,Energetic,https://open.spotify.com/track/3rQDMaRia4W2M0Fliv9J4I
Tere Hawale (Arijit - Shreya Duet),Pritam,2023,54,0.621,0.595,0.565,7.04E-05,9,0.0966,-9.643,0.0418,108.997,0.329,Hindi,Neutral,https://open.spotify.com/track/3RorJ5DnxrT70LuRfhLn3t
Jaadui,Pritam,2023,47,0.866,0.589,0.419,8.79E-06,7,0.136,-10.485,0.0265,102.973,0.437,Hindi,Neutral,https://open.spotify.com/track/4nriYsKSq1VmiamjZOB4Tp
Leke Prabhu Ka Naam,Pritam,2023,43,0.299,0.713,0.888,4.30E-06,4,0.289,-7.096,0.0538,115.969,0.916,Hindi,Happy,https://open.spotify.com/track/66v97IvccVkHt40FIOq1LH
"Nikle The Kabhi Hum Ghar Se (From ""Dunki"")",Pritam,2023,46,0.727,0.543,0.516,4.28E-05,4,0.104,-8.904,0.0307,103.947,0.157,Hindi,Neutral,https://open.spotify.com/track/0TB3o17WOQginPe0ob0sE6
Main Tera Main Tera,Pritam,2023,39,0.312,0.554,0.807,0.00883,7,0.371,-6.952,0.0677,118.034,0.882,Hindi,Happy,https://open.spotify.com/track/2aGnaihxhjYe0aNoxIkvtS
Ruaan,Pritam,2023,44,0.828,0.414,0.656,2.87E-06,0,0.0966,-7.64,0.0641,73.198,0.585,Hindi,Neutral,https://open.spotify.com/track/0Qo75eJMY72e5IQJt0Dz9z
"Mere Sawaal Ka (From ""Shehzada"")",Pritam,2023,47,0.737,0.759,0.698,7.15E-06,2,0.13,-8.571,0.0651,106.013,0.482,Hindi,Energetic,https://open.spotify.com/track/6ZLgnkQNj1CJldLocXd5Ul
Chedkhaniyan,Pritam,2023,36,0.38,0.716,0.876,0,7,0.394,-3.777,0.0694,124.903,0.849,Hindi,Happy,https://open.spotify.com/track/6EKY8rpjaBxxB0WbXJhedU
Deva Deva - Lofi Flip,Pritam,2023,40,0.932,0.542,0.276,0.475,0,0.092,-15.74,0.0309,102.116,0.142,Hindi,Sad,https://open.spotify.com/track/6eA9uBWWbDeDqbhFSPrMSl
"Touch Me (From ""Dhoom:2"")",Pritam,2023,36,0.26,0.771,0.856,0.000116,6,0.0665,-6.451,0.0474,105.001,0.866,Hindi,Happy,https://open.spotify.com/track/09XAlNtxlbZBep0O0z1sR7
Munda Sona Hoon Main,Pritam,2023,37,0.271,0.775,0.83,0,9,0.191,-4.905,0.0571,130.024,0.913,Hindi,Happy,https://open.spotify.com/track/0NODNDsiY0sK5P0TnmDMSE
Channa Mereya - Instrumental,Pritam,2023,35,0.894,0.394,0.785,0.9,0,0.0911,-10.904,0.0472,180.081,0.23,Hindi,Neutral,https://open.spotify.com/track/5fcuZ5FeBesCxJfdoYP8E5
"Sahibaa (From ""The Great Indian Family"")",Pritam,2023,36,0.541,0.719,0.762,0,0,0.139,-5.811,0.0451,91.98,0.679,Hindi,Energetic,https://open.spotify.com/track/2YYvNDKfjDsWNaEwhsGcZk
Mere Sawaal Ka,Pritam,2023,36,0.737,0.759,0.698,7.15E-06,2,0.13,-8.571,0.0651,106.013,0.482,Hindi,Energetic,https://open.spotify.com/track/6ZLgnkQNj1CJldLocXd5Ul
Kalank Remix By DJ Ganesh,Pritam,2023,32,0.208,0.56,0.799,0,5,0.154,-6.654,0.0565,117.919,0.153,Hindi,Neutral,https://open.spotify.com/track/0qGcr1hjCOfkWivKYbSDEm
Kesariya - Edward Maya Remix,Pritam,2023,32,0.0266,0.621,0.868,4.74E-06,0,0.335,-5.85,0.0475,125.985,0.446,Hindi,Energetic,https://open.spotify.com/track/5fuSPs05wyvaGgxUUnUsad
"Baithe Baithe (From ""T-Series Listed"")",Pritam,2023,50,0.814,0.794,0.258,3.71E-06,6,0.112,-12.346,0.0509,117.977,0.346,Hindi,Sad,https://open.spotify.com/track/70oyK852uX6zmyCfu3bdIj
"Dil Laga Na (From ""Dhoom:2"")",Pritam,2023,36,0.16,0.777,0.952,2.36E-06,7,0.0512,-5.929,0.16,101.994,0.483,Hindi,Energetic,https://open.spotify.com/track/4xBdL83lVrc4DWup8J9suW
"Hai Junoon (From ""New York"")",Pritam,2023,34,0.538,0.738,0.663,1.33E-06,2,0.0826,-10.583,0.0345,106.02,0.873,Hindi,Energetic,https://open.spotify.com/track/2bhzXAQv9hv7ZGPUZeN5cz
Character Dheela 2.0,Pritam,2023,31,0.00332,0.841,0.863,9.64E-05,11,0.111,-4.73,0.0642,111.955,0.426,Hindi,Energetic,https://open.spotify.com/track/0QT9B8Yfrz0vi66oXMrKJg
Phir Na Aisi Raat (Reprise),Pritam,2023,34,0.692,0.465,0.465,0,3,0.179,-8.487,0.0314,134.75,0.255,Hindi,Neutral,https://open.spotify.com/track/19YSa5R1vV6BUFvczTERi4
Kesariya,Pritam,2023,32,0.572,0.577,0.574,0,0,0.1,-6.525,0.0278,94.009,0.436,Hindi,Neutral,https://open.spotify.com/track/6VBhH7CyP56BXjp8VsDFPZ
"Kanhaiya Twitter Pe Aaja (From ""The Great Indian Family"")",Pritam,2023,30,0.0588,0.73,0.954,0,10,0.248,-4.485,0.147,126.965,0.681,Hindi,Energetic,https://open.spotify.com/track/5J6swMSDn9kVRU7vbwsM6K
Shehzada Title Track,Pritam,2023,29,0.115,0.693,0.869,0,5,0.201,-3.697,0.0817,95.966,0.696,Hindi,Energetic,https://open.spotify.com/track/4cW7f6klVvqoKQnoDDHFDf
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",Pritam,2023,38,0.717,0.491,0.654,0,3,0.165,-6.639,0.0659,124.043,0.353,Hindi,Neutral,https://open.spotify.com/track/79jYT83v4bMOWEgwjQxSx2
Sahibaa,Pritam,2023,27,0.0572,0.729,0.953,0,10,0.263,-4.495,0.147,126.968,0.668,Hindi,Energetic,https://open.spotify.com/track/2YYvNDKfjDsWNaEwhsGcZk
Baatein Kuch Ankahee Si,Pritam,2023,40,0.644,0.735,0.345,0,10,0.166,-9.082,0.0445,122.009,0.471,Hindi,Neutral,https://open.spotify.com/track/4yWEl7boNZlIUQ32enHCsi
"Hawayein (From ""Jab Harry Met Sejal"")",Pritam,2023,32,0.796,0.606,0.601,0.000511,2,0.127,-5.576,0.0283,125.961,0.453,Hindi,Energetic,https://open.spotify.com/track/6871FKHumiy1Wfr6vF7Xxt
Mere Sawaal Ka (King Version),Pritam,2023,29,0.743,0.746,0.692,4.91E-06,0,0.096,-9.148,0.0471,106.016,0.45,Hindi,Energetic,https://open.spotify.com/track/4gMAPHoUI80xJHx55iHQjB
Shayad,Pritam,2023,32,0.793,0.486,0.456,1.70E-06,8,0.141,-7.143,0.0319,136.085,0.346,Hindi,Neutral,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
"Channa Mereya (From ""Ae Dil Hai Mushkil"")",Pritam,2023,30,0.24,0.476,0.788,2.64E-05,9,0.106,-4.821,0.0448,90.066,0.747,Hindi,Happy,https://open.spotify.com/track/1plFCZ6QFAjSRutT02GTCn
"Lehra Do - From ""83""",Pritam,2023,33,0.487,0.509,0.91,0,2,0.106,-6.283,0.0727,83.974,0.52,Hindi,Neutral,https://open.spotify.com/track/6EcDkNazXZtD8hMWAa43J6
Dil Jashn Bole,Pritam,2023,32,0.0866,0.707,0.957,0,6,0.383,-4.368,0.182,108.655,0.561,Hindi,Energetic,https://open.spotify.com/track/5mKZS3xZpeTnUOGtijZmoF
"Shehzada Title Track (From ""Shehzada"")",Pritam,2023,27,0.115,0.693,0.869,0,5,0.201,-3.697,0.0817,95.966,0.696,Hindi,Energetic,https://open.spotify.com/track/3En5vzjXpI2Q316FelTqd5
"Tu Hi Junoon (From ""Dhoom:3"")",Pritam,2023,28,0.0491,0.536,0.719,0,4,0.0484,-5.113,0.0694,133.92,0.313,Hindi,Neutral,https://open.spotify.com/track/04Hitqk330wIcM8SO2DgXX
Gerua - Trending Version,Pritam,2023,21,0.701,0.47,0.795,0,2,0.718,-6.668,0.104,87.92,0.742,Hindi,Happy,https://open.spotify.com/track/5k2VO4sMKQoKwbwkGtCRl1
Deva Deva,Pritam,2023,20,0.636,0.544,0.721,0.000814,0,0.0997,-7.634,0.0428,112.11,0.44,Hindi,Neutral,https://open.spotify.com/track/0IGXY47K2ha3AHfX57wY1O
"Hadippa (From ""Dil Bole Hadippa"")",Pritam,2023,19,0.205,0.794,0.871,0.00481,1,0.0421,-6.88,0.0744,112.009,0.963,Hindi,Happy,https://open.spotify.com/track/3w1fzmm2ZBF7MRKRGFrhzm
Ki Farak Painda Hai,Pritam,2023,15,0.568,0.721,0.758,0,0,0.142,-6.016,0.0437,91.977,0.687,Hindi,Energetic,https://open.spotify.com/track/4kdqwacRU9WqwFqvkf5dep
"Mere Sawaal Ka (King Version) [From ""Shehzada""]",Pritam,2023,36,0.743,0.746,0.692,4.91E-06,0,0.096,-9.148,0.0471,106.016,0.45,Hindi,Energetic,https://open.spotify.com/track/7wmJHjIZCs8CAAeMtWUt9e
Kanhaiya Twitter Pe Aaja,Pritam,2023,19,0.117,0.689,0.925,0,8,0.317,-4.08,0.188,132.091,0.672,Hindi,Energetic,https://open.spotify.com/track/5J6swMSDn9kVRU7vbwsM6K
Dil Ibaadat,Pritam,2023,38,0.632,0.59,0.857,0,2,0.286,-5.006,0.0417,149.966,0.62,Hindi,Neutral,https://open.spotify.com/track/3Kl8p2PxVf8eAayLwTxOIm
